"Name","ItemId","DBRecent"
"Aerated Phial of Quick Hands","197722","24.54"
"Mycobloom R1","210796","8.61"
"Mycobloom R2","210797","8.34"
"Luredrop R1","210799","11.55"
"Luredrop R2","210800","11.49"
"Orbinid R1","210802","5.08"
"Orbinid R2","210803","5.01"
"Blessing Blossom R1","210805","4.56"
"Blessing Blossom R2","210806","4.64"
"Arathor's Spear R1","210808","11.33"
"Arathor's Spear R2","210809","11.42"
"Bismuth R1","210930","8.47"
"Bismuth R2","210931","8.34"
"Aqirite R1","210933","5.69"
"Aqirite R2","210934","6.07"
"Ironclaw Ore R1","210936","6.18"
"Ironclaw Ore R2","210937","6.09"
"Blasphemite","212514","51.15"
"Stormcharged Leather R1","212664","4.99"
"Stormcharged Leather R2","212665","4.83"
"Gloom Chitin R1","212667","4.54"
"Gloom Chitin R2","212668","4.57"
"Storm Dust R1","219946","11.85"
"Storm Dust R2","219947","17.23"
"Weavercloth R1","224828","19.6"
"Weavercloth R2","228231","19.44"
"Updated","05/11/2025","05:30:50"
